x	y	PP
4334349.50409	6198836.52389	80
4323288.31535	6225416.08032	86.4
4484091.6457	6574694.24483	118.6
4408398.32108	6608314.31122	193.4
4455638.35844	6510286.22965	110.4
4373163.14894	6244786.91236	112
4457874.67328	6357406.63108	128.8
4468688.57833	6420924.21544	163.8
4410009.83144	6430355.12724	132
4445741.10697	6663213.37409	84.4
4463517.64252	6533960.3327	82.6
4445792.43772	6715612.87171	53
4533960.528	6436955.1991	158.8
4493604.05895	6507681.39311	129.2
4361549.65415	6338404.0968	75.6
4506304.49164	6455374.30782	207
4418790.949	6495984.02225	90.2
4438902.5458	6286886.69779	114
4468580.24236	6376336.00704	137
4495128.43894	6335221.08419	154
4297767.51556	6515569.88381	39
4514837.2025	6371639.07457	174.6
4386054.9227	6195061.6313	64
4420698.32596	6533028.34299	134.4
4407767.62079	6530568.49912	126.2
4532105.0237	6326741.74134	144.8
4546167.28389	6356999.12454	151.4
4525286.24183	6485185.34226	97
4459035.13118	6478716.79675	137.4
4530259.09519	6521239.3117	93.2
4353936.5986	6359030.3007	66.4
4457215.7701	6453678.2653	145.4
4362268.59811	6147146.3658	54
4431044.04772	6267304.07035	73.8
4555526.09193	6297613.11009	107.8
4391826.63739	6559876.64198	96.2
4413318.01461	6236277.24228	128.6
4435891.49946	6369480.87426	100.8
4561206.50589	6342086.23542	252
4441256.42983	6688294.06111	77
4470048.78189	6498805.86681	122.2
4441873.53695	6568763.36437	100.8
4570747.99465	6531095.24517	110.2
4349309.37241	6278666.21252	80.8
4402086.51779	6547461.41227	120
4582609.36376	6620675.17563	236.2
4388677.21575	6289114.38828	78.6
4437400.48383	6618135.1877	97.2
4423279.28971	6588582.09352	116.8
4512061.00989	6286064.86129	97.8
4404572.44707	6517260.6261	91.4
4482274.7159	6501285.19521	149
4526079.00217	6569200.21847	177.4
4554488.66959	6280160.54526	138.4
4564897.18442	6576837.18614	229.6
4277434.89166	6471850.73407	59
