x y pH CE MO N P K CIC Arcilla
482831.262187537 484221.261044323 7.20 0.413 1.35 6.19 4.92 0.22 8.28 18.15
482843.46718291 484222.363896664 6.60 0.511 1.39 7.56 9.31 0.33 7.01 20.70
482851.234536305 484225.678403613 7.14 0.371 1.29 6.82 5.14 0.31 9.11 15.50
482861.220709833 484227.887085029 6.70 0.503 1.48 7.21 7.92 0.37 5.98 20.70
482836.805705969 484201.363253947 6.67 0.508 1.61 7.39 8.94 0.39 6.62 20.66
482847.901862993 484205.782443512 6.71 0.333 1.38 5.99 7.52 0.35 6.92 25.46
482855.66899002 484207.991581691 6.63 0.422 1.75 6.17 8.33 0.38 5.86 26.10
482866.765145081 484212.410773711 6.56 0.343 1.69 6.81 12.57 0.33 4.97 23.68
482876.75131971 484214.619457025 6.58 0.369 1.80 5.78 16.58 0.41 7.04 23.24
482844.569416092 484186.991852802 6.60 0.402 1.71 5.62 7.75 0.30 6.64 20.92
482854.55559443 484189.200533568 6.57 0.362 1.88 5.49 8.92 0.25 5.62 23.05
482864.541772199 484191.409215514 6.68 0.389 1.90 5.18 6.77 0.26 7.28 23.01
482872.309355005 484195.829093685 6.64 0.415 1.53 6.24 8.62 0.32 8.27 28.89
482882.295758781 484199.143146925 6.53 0.408 1.86 6.11 11.32 0.34 5.16 26.15
482849.003642985 484168.199661501 6.55 0.370 1.97 5.07 12.54 0.27 6.09 23.54
482857.880526092 484171.513940575 6.60 0.445 1.49 6.31 9.35 0.33 7.88 25.93
482868.97645831 484174.827763815 6.62 0.323 1.70 5.3 8.04 0.22 5.44 31.19
482880.072162232 484177.036219307 6.54 0.502 1.66 6.12 10.13 0.35 6.39 31.38
482887.839518216 484180.350729733 6.62 0.323 1.44 5.24 7.51 0.21 5.61 30.74
482854.547624983 484150.512611243 6.58 0.525 1.73 5.11 8.66 0.40 9.02 25.67
482862.314984504 484153.82711939 6.39 0.438 2.15 4.7 33 0.42 7.11 25.88
482873.410691416 484156.035574087 6.69 0.380 1.64 4.22 7.35 0.35 9.48 34.65
482883.397099861 484159.349627594 6.51 0.362 1.48 4.85 5.21 0.38 9.40 34.00
482892.274209594 484163.769279504 6.20 0.377 2.25 5.19 24 0.29 6.07 33.92
482857.87278612 484133.931387668 6.17 0.552 1.83 5.23 27 0.27 4.96 23.49
482868.968495803 484136.139841861 6.39 0.465 2.13 4.97 35 0.33 5.81 35.93
482876.735856023 484139.454351369 6.41 0.516 1.67 5.36 40 0.39 6.79 30.67
482886.722266288 484142.768405327 6.43 0.378 2.08 4.38 22 0.35 7.07 32.89
482895.599150427 484146.082688446 6.54 0.395 1.96 4.46 8.12 0.42 7.96 33.44
482861.19772111 484116.244795147 6.29 0.51 2.48 5.69 39 0.66 6.92 42.55
482870.074381684 484118.453706471 6.36 0.529 2.27 6.69 31 0.54 7.37 31.85
482880.061022069 484122.873128896 6.30 0.556 2.39 6.81 26 0.47 5.48 24.40
482888.937681372 484125.082042192 6.32 0.389 2.33 7.03 37 0.31 7.44 36.01
482897.814567275 484128.396325597 6.40 0.353 2.14 5.48 19 0.25 6.91 31.71
482862.3033782 484097.453290504 6.17 0.342 2.08 5.61 15 0.36 4.16 26.15
482872.29002151 484101.872712078 6.33 0.396 1.97 5.17 24 0.40 6.37 35.95
482883.38596227 484105.18653749 6.30 0.382 2.14 6.14 17 0.28 4.48 32.40
482891.153324713 484108.5010484 6.79 0.422 1.87 5.3 11 0.19 8.92 34.43
482901.139510959 484110.709735002 6.21 0.455 2.08 5.12 16 0.27 5.26 25.87
482865.628315859 484079.7666984 6.24 0.507 2.33 6.15 11 0.33 4.75 23.20
482875.614733688 484083.080751246 6.35 0.431 2.49 5.62 21 0.29 6.03 35.93
482885.601377932 484087.500174438 6.57 0.347 2.19 4.96 24 0.39 7.44 33.92
