x y
482849.238249967 483898.871255576
482871.130358642 483872.955093551
482897.85399993 483859.756796248
482922.865652605 483860.42559788
482919.695294092 483873.777660917
482920.81573155 483893.50200386
482925.155158855 483920.666209784
482934.059196687 483954.111035577
482944.005963263 483982.032117059
482945.732571661 483998.14146133
482943.900645802 484010.193561025
482944.024944957 484019.274029057
482945.704144795 484029.199599153
482944.293276186 484038.722426803
482929.225975192 484064.776147935
482917.262038479 484087.897796931
482914.313016826 484105.055494679
482903.211584621 484131.443537289
482914.144965595 484157.763533796
482903.291856719 484177.700867541
482882.770219298 484206.529211614
482876.216427588 484232.834758095
482855.724073109 484236.31559232
482842.710451215 484228.50593475
482823.708149033 484221.62611389
482835.835370776 484199.141790208
482844.592413191 484169.449807845
482850.713152684 484140.313590387
482858.02746063 484096.789030166
482865.424507838 484064.068346299
482867.2640247 484042.184453984
482868.137524093 484010.664642974
482860.583918373 483947.820377641
482867.959613342 483997.186974624
482867.081814375 483995.29092547
482865.871843493 483990.894503289
482849.238249967 483898.871255576
